CIF,Núm. inscripció,Nom societat,Data constitució,CCAE,Descripció CCAE,Sector,Adreça,CP,Municipi,Comarca,Província,Capital social inicial,Valor nom. Acc. Part.,Núm. total acc/part,Socis,Sòcies (dones),Socis no treballadors,Sòcies no treballadores (dones),Persones jurídiques privades,Persones jurídiques públiques
B17659970,3513,"SERVEIS PER INTERNET AREA GLOBAL, SLL",20/03/2001,[ 72 ],Activitats informàtiques,SERVEIS,C. COROMINA núm. 44,[ 17820 ],Banyoles,Pla de l'Estany,GIRONA,3012,1,3012,1,1,1,0,0,0
B17650359,3516,"JARDA REPRESENTACIONS, SLL",21/03/2001,[ 4618 ],Intermediaris del comerç especialitzat en la venda d'altres productes,SERVEIS,CTRA. PROVINCIAL núm. 23,[ 17244 ],Cassà De La Selva,Gironès,GIRONA,24000,1,24000,2,0,1,0,0,0
B62515440,3523,"EASYTELECOM, SLL",23/03/2001,[ 52488 ],Altres tipus de comerç al detall,SERVEIS,C. LABERNIA núm. 8,[ 08032 ],Barcelona,Barcelonès,BARCELONA,3099,1,3099,2,0,1,0,0,0
B17650805,3524,"ROSTISSERIA FLAÇA, SLL",23/03/2001,[ 5552 ],Provisió de menjars preparats,SERVEIS,C. COMERÇ núm. 36,[ 17463 ],Flaçà,Gironès,GIRONA,18030,1,18030,1,2,0,0,0,0
B62438650,3525,"PINT-ARTES 2000, SLL",26/03/2001,[ 3299 ],Altres indústries manufactureres diverses ncaa,INDÚSTRIA,"CTRA. ARTÉS-MANRESA Km. 3,800",[ 08271 ],Artés,Bages,BARCELONA,4207,1,4207,3,0,2,0,0,0
B62502869,3527,"METACARP-CALAF, SLL",26/03/2001,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,C. JACINT VERDAGUER núm. S/N,[ 08280 ],Calaf,Anoia,BARCELONA,3006,1,3006,1,1,0,1,0,0
B62502364,3528,"COMERCIAL ARIÑO 2001, SLL",26/03/2001,[ 513 ],"Comerç a l'engròs de productes alimentaris, begudes i tabac",SERVEIS,C. MONTSERRAT núm. 134,[ 08915 ],Badalona,Barcelonès,BARCELONA,3006,1,3006,1,1,1,0,0,0
B62474655,3530,"PINTURES MIRASOL, SLL",26/03/2001,[ 4753 ],"Comerç al detall de catifes, moquetes i revestiments de parets i terres en establiments especialitzats",SERVEIS,AV. MONTSERRAT núm. 7,[ 08700 ],Igualada,Anoia,BARCELONA,3006,1,3006,2,0,0,1,0,0
B25457573,3531,"BALABLAU, SLL",26/03/2001,[ 55 ],Hoteleria,SERVEIS,C. URGELL núm. 29,[ 25600 ],Balaguer,Noguera,LLEIDA,3006,1,3006,1,1,0,1,0,0
B62506266,3532,"CAFE DIAGONAL 2001, SLL",27/03/2001,[ 7032 ],Gestió i administració de la propietat immobiliària,SERVEIS,C. DEU I MATA núm. 156 Pis LOCAL Porta 1 C,[ 08029 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,0,2,0,1,0,0
B62483482,3538,"FORJA I DECORACIO CLAPES, SLL",29/03/2001,[ 2550 ],"Forja, estampació i embotició de metalls; pulverimetal·lúrgia",INDÚSTRIA,PG. CONGOST núm. 268,[ 08530 ],"Garriga, La",Vallès Oriental,BARCELONA,3012,251,12,1,1,0,1,0,0
B43623859,3539,"ENGINY VERD, SLL",29/03/2001,[ 512 ],Comerç a l'engròs de primeres matèries agràries i d'animals vius,SERVEIS,PL. MAJOR núm. 26 Pis BAIXOS,[ 43364 ],Prades,Baix Camp,TARRAGONA,3006,1,3908,1,2,1,1,0,0
B43633189,3541,"SERRALLERIA ELS PORTS, SLL",29/03/2001,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,C. PTDA. PANDORGA núm. 37,[ 43520 ],Roquetes,Baix Ebre,TARRAGONA,3021,1,3021,1,1,0,1,0,0
B62430228,3543,"CENTRAL PLANCHA GARMI, SLL",29/03/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,C. MASIA TORRENTS núm. 6,[ 08800 ],Vilanova I La Geltrú,Garraf,BARCELONA,3008,1,3008,2,0,0,2,0,0
B62503289,3544,"LEADERNEXT, SLL",29/03/2001,[ 45211 ],Construcció d'edificis,CONSTRUCCIÓ,C. PAU PICASSO núm. 18 Pis LOCAL Porta 2A,[ 08914 ],Badalona,Barcelonès,BARCELONA,3060,1,3060,1,2,2,0,0,0
B62502851,3545,"FUSTERIA EBANISTERIA INTERFUSTA, SLL",29/03/2001,[ 45421 ],Instal·lacions de fusteria i matèries plàstiques,CONSTRUCCIÓ,C. GUERRILLER ALZINA núm. 69,[ 08204 ],Sabadell,Vallès Occidental,BARCELONA,3006,1,3006,1,1,0,1,0,0
B62483730,3558,"INSTAL·LACIONS GRANOLLERS, SLL",03/04/2001,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. PRIMER MARQUÈS DE LES FRANQUE núm. 30,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,3060,5,612,3,0,0,0,0,0
B17657057,3559,"9BIT, BUILDING INFORMATION TECHNOLOGIES, SLL",04/04/2001,[ 72210 ],Edició de programes informàtics,SERVEIS,C. EMPORDÀ núm. 3,[ 17464 ],Cervià De Ter,Gironès,GIRONA,3006,1,3006,1,1,1,0,0,0
B62508585,3560,"CONSTRUCCIONS GONZALEZ-JAUREGUI, SLL",04/04/2001,[ 452 ],Construcció general d'immobles i obres d'enginyeria civil,CONSTRUCCIÓ,PG. PERE III núm. 87 Esc. B Pis 3R Porta 4A,[ 08240 ],Manresa,Bages,BARCELONA,3600,6,600,2,0,0,1,0,0
B62510953,3562,"TELPYMSER, SLL",05/04/2001,[ 52488 ],Altres tipus de comerç al detall,SERVEIS,RBLA. ANSELM CLAVÉ núm. 19 BIS,[ 08940 ],Cornellà De Llobregat,Baix Llobregat,BARCELONA,9015,1,9015,1,1,0,1,0,0
B17663329,3563,"9 OBRADOR GIRONES, SLL",05/04/2001,[ 513 ],"Comerç a l'engròs de productes alimentaris, begudes i tabac",SERVEIS,C. DE L'AIGÜETA núm. 176,[ 17100 ],"Bisbal D'Empordà, La",Baix Empordà,GIRONA,3009,1,3009,2,0,1,0,0,0
B62465901,3567,"ENERGY CAT, SLL",09/04/2001,[ 4674 ],"Comerç a l'engròs de ferreteria, lampisteria i calefacció",SERVEIS,C. CORONEL SANFELIU núm. 55 BIS,[ 08820 ],"Prat De Llobregat, El",Baix Llobregat,BARCELONA,3150,1,3150,3,0,0,0,0,0
B25471509,3569,"RODAMETAL·LIC, SLL",09/04/2001,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,C. MOSSÈN RAMON ARTIGUES núm. 46,[ 25125 ],Alguaire,Segrià,LLEIDA,6000,100,60,2,0,0,1,0,0
B62490719,3570,"PINTURAS I DECORACIO GAVA, SLL",09/04/2001,[ 4752 ],"Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats",SERVEIS,PG. JOAN MARAGALL núm. 12,[ 08850 ],Gavà,Baix Llobregat,BARCELONA,3006,6,501,1,1,0,1,0,0
B62489539,3573,"LA MARTINENCA DE GASTRONOMIA, SLL",17/04/2001,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. PEPET TEIXIDOR núm. 14 Bloc RESTAURANT,[ 08731 ],Sant Martí Sarroca,Alt Penedès,BARCELONA,73026,1,73026,0,2,1,1,0,0
B62441746,3574,"SERVICIOS DE FERRETERIA VIPE, SLL",17/04/2001,[ 4752 ],"Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats",SERVEIS,C. MANUEL DE FALLA núm. 16 Pis BAIXOS,[ 08206 ],Sabadell,Vallès Occidental,BARCELONA,3100,1,3100,2,0,0,2,0,0
B62275854,3575,"FORN MARITIM, SLL",18/04/2001,[ 1071 ],Fabricació de pa i de productes de fleca i pastisseria frescos,INDÚSTRIA,C. RAMBLA TAULAT núm. 224-226 Pis 1R Porta LOC,[ 08019 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,0,2,1,0,0,0
B25473836,3576,"CANTALUP SERVEI UNIVERSAL DE VIDEO, SLL",18/04/2001,[ 922 ],Activitats de ràdio i televisió,SERVEIS,AV. SEGRE núm. 13 Pis BAIXOS,[ 25007 ],Lleida,Segrià,LLEIDA,24040,1,24040,4,0,0,0,0,0
B62522362,3578,"SERVICIOS COMPLEMENTARIOS DE INMUEBLES, SLL",18/04/2001,[ 703 ],Activitats immobiliàries per compte d'altri,SERVEIS,PL. TRAFALGAR núm. 13-14 Pis LOCAL Porta 2,[ 08913 ],Badalona,Barcelonès,BARCELONA,3008,1,3008,0,3,1,0,0,0
B62502117,3579,"EL GRILL MAGIC, SLL",18/04/2001,[ 5630 ],Establiments de begudes,SERVEIS,C. AROUSA núm. 31-33,[ 08207 ],Sabadell,Vallès Occidental,BARCELONA,3006,1,3006,1,1,1,1,0,0
A62516679,3580,"SERVICIOS LOGISTICOS DEL RECAMBIO, SAL",18/04/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,C. VELIA núm. 18 Pis 4T Porta 4A,[ 08016 ],Barcelona,Barcelonès,BARCELONA,60120,10,24765,15,2,0,0,0,0
B62400767,3581,"DISTNAVA 2000, SLL",18/04/2001,[ 513 ],"Comerç a l'engròs de productes alimentaris, begudes i tabac",SERVEIS,AV. REI EN JAUME núm. 257 Pis 2N Porta 3A,[ 08440 ],Cardedeu,Vallès Oriental,BARCELONA,3006,1,3006,2,0,0,1,0,0
B17659541,3582,"TRANS-SUMAYA, SLL",18/04/2001,[ 6024 ],Transport de mercaderies per carretera,SERVEIS,urb. JUNIOR PARK C/701 núm. 701,[ 17404 ],Riells I Viabrea,Selva,GIRONA,3180,4,795,1,1,1,0,0,0
B62523485,3585,"HISPANO ALEMANA DE DIAGNOSIS, SLL",19/04/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,C. PLOMO nºm. 28 Pis BAIXOS,[ 08038 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,3,0,0,0,0,0
B62522347,3588,"REFRISANCHO, SLL",19/04/2001,[ 4322 ],"Lampisteria, instal·lacions de calefacció i aire condicionat",CONSTRUCCIÓ,C. DOCTOR BOVÉ núm. 173 Pis SOTERRANI Porta 2A,[ 08032 ],Barcelona,Barcelonès,BARCELONA,3060,30,102,2,1,0,0,0,0
B62519871,3589,"ARACNE INFORMATICA Y OCIO, SLL",20/04/2001,[ 726 ],Altres activitats relacionades amb la informàtica,SERVEIS,C. COMANDANT BENÍTEZ núm. 19 Pis SOBREÀTIC Porta 1A,[ 08028 ],Barcelona,Barcelonès,BARCELONA,3024,9,336,1,1,0,1,0,0
B62507835,3593,"KARMA VIRTUAL, SLL",23/04/2001,[ 51430 ],"Comerç a l'engròs d'aparells electrodomèstics, de ràdio i de televisió",SERVEIS,C. CASANOVAS núm. 2 Pis ÀTIC Porta 2A,[ 08901 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,3015,5,603,2,1,0,0,0,0
B43630987,3597,"PRAXIS CENTER CENTRO DE PREPARACION DE CURSOS, SLL",25/04/2001,[ 8559 ],Altres activitats d'educació ncaa,SERVEIS,C. CRISTOFOL COLOM núm. 15 Pis 1R,[ 43001 ],Tarragona,Tarragonès,TARRAGONA,3006,1,3006,2,0,1,0,0,0
B62526330,3599,"LK-2 SEGURO PARRA, SLL",26/04/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,C. SANT JAUME núm. 35,[ 08397 ],Pineda De Mar,Maresme,BARCELONA,3008,2,1504,0,2,2,0,0,0
B62531702,3602,"VIATGES ON-LINE, SLL",27/04/2001,[ 7911 ],Activitats de les agències de viatges,SERVEIS,C. ESPERANÇA núm. 5-7 Pis BAIXOS,[ 08330 ],Premià De Mar,Maresme,BARCELONA,60105,1,60105,1,1,1,0,0,0
B62532759,3605,"MARNA ASSEMBLIES, SLL",30/04/2001,[ 2562 ],Enginyeria mecànica general per compte d'altri,INDÚSTRIA,AV. CATALUNYA núm. 26 Esc. 4 Pis 1R Porta 1A,[ 08291 ],Ripollet,Vallès Occidental,BARCELONA,3024,6,504,2,0,0,2,0,0
B62536099,3606,"PIXEL STUDIO PRODUCCIONS, SLL",30/04/2001,[ 72300 ],Processament de dades,SERVEIS,C. ROGER DE FLOR núm. 202 Pis 1R Porta 2A,[ 08013 ],Barcelona,Barcelonès,BARCELONA,12018,1,12018,3,0,0,0,0,0
B62534011,3608,"MAÑACH PROFESIONAL, SLL",02/05/2001,[ 4645 ],Comerç a l'engròs de perfumeria i cosmètica,SERVEIS,C. JORDI JOAN núm. 10 Pis BAIXOS,[ 08301 ],Mataró,Maresme,BARCELONA,3006,1,3006,1,1,0,1,0,0
B62605845,3609,"FERRER-ALCAIDE, SLL",02/05/2001,[ 52632 ],Altres tipus de comerç al detall fora d'establiments,SERVEIS,C. SERRAT DE LES ESQUITLLERES núm. 3-4,[ 08560 ],Manlleu,Osona,BARCELONA,3006,1,3006,1,1,2,3,0,0
B62539820,3610,"CENTRO OPTICO JOANICH, SLL",03/05/2001,[ 4646 ],Comerç a l'engròs de productes farmacèutics,SERVEIS,C. PI I MARGALL núm. 13,[ 08024 ],Barcelona,Barcelonès,BARCELONA,3030,1,3030,1,1,0,1,0,0
B25475013,3611,"LA PRINCESA DEL PESOL, SLL",03/05/2001,[ 55 ],Hoteleria,SERVEIS,CAMÍ CAMÍ REIAL núm. 1 Pis BAIXOS,[ 25720 ],Bellver De Cerdanya,Cerdanya,LLEIDA,3006,1,3006,1,1,0,2,0,0
B62536016,3612,"ESTETICSOL COLORS, SLL",03/05/2001,[ 9602 ],Perruqueria i altres tractaments de bellesa,SERVEIS,C. TORRENT ROQUETES núm. 3 Pis LOCAL,[ 08629 ],Torrelles De Llobregat,Baix Llobregat,BARCELONA,3015,1,3015,1,1,0,1,0,0
B62538178,3616,"INOX GONZALEZ, SLL",07/05/2001,[ 4672 ],Comerç a l'engròs de metalls i minerals metàl·lics,SERVEIS,C. DOCTOR AUGUET núm. 53 Pis 1R Porta 1A,[ 08840 ],Viladecans,Baix Llobregat,BARCELONA,3006,1,63264,2,0,0,1,0,0
B62542808,3619,"GRANIZADOS MARESME, SLL",09/05/2001,[ 1089 ],Elaboració d'altres productes alimentaris ncaa,INDÚSTRIA,"C. Juan de la cierva, 18  Polígon MAS ROGER",[ 08397 ],Pineda De Mar,Maresme,BARCELONA,3006,3,19502,2,0,0,2,0,0
B17666546,3620,"ALSINA RESTAURACIO, SLL",09/05/2001,[ 4724 ],"Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establiments especialitzats",SERVEIS,AV. DE FRANÇA núm. 244,[ 17840 ],Sarrià De Ter,Gironès,GIRONA,3009,1,3009,0,2,1,0,0,0
B62530910,3622,"OPTICA I ORTOPEDIA TONA, SLL",10/05/2001,[ 2670 ],Fabricació d'instruments d'òptica i d'equips fotogràfics,INDÚSTRIA,CTRA. BARCELONA núm. 41-43,[ 08551 ],Tona,Osona,BARCELONA,3006,1,3006,2,0,0,1,0,0
B62550900,3624,"CRIALSA REHABILITACION, SLL",11/05/2001,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,C. BALMES núm. 36 Pis BAIXOS,[ 08913 ],Badalona,Barcelonès,BARCELONA,46170,10,4688,2,1,0,0,0,0
B62521877,3629,"MITTA-LARIS, SLL",14/05/2001,[ 853 ],Activitats de serveis socials,SERVEIS,C. RAURICH núm. 62,[ 08830 ],Sant Boi De Llobregat,Baix Llobregat,BARCELONA,3006,1,3006,0,6,0,0,0,0
B17662891,3632,"SOLDADURA COVICA, SLL",15/05/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,C. DEL CARME núm. S/N,[ 17844 ],Cornellà Del Terri,Pla de l'Estany,GIRONA,3009,1,3009,2,0,0,1,0,0
B43632173,3636,"LITORAL-TRANS 2001, SLL",17/05/2001,[ 6024 ],Transport de mercaderies per carretera,SERVEIS,C. CAP DE TORTOSA núm. 13 A,[ 43830 ],Torredembarra,Tarragonès,TARRAGONA,3096,1,3096,3,0,0,0,0,0
B62510094,3639,"CRIMOS 2.001, SLL",17/05/2001,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. LLUNETES núm. 7 Pis TENDA Porta 5,[ 08940 ],Cornellà De Llobregat,Baix Llobregat,BARCELONA,3008,1,3008,2,0,0,2,0,0
B62554324,3640,"INOXID, SLL",17/05/2001,[ 3101 ],Fabricació de mobles d'oficina i d'establiments comercials,INDÚSTRIA,C. GERMANS FARGUELL Parcel·la 72 D,[ 08600 ],Berga,Berguedà,BARCELONA,3015,1,3015,1,1,0,1,0,0
B62545330,3641,"TALLERES PELAYO, SLL",18/05/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,C. RAVELLA núm. 12,[ 08021 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,1,1,0,1,0,0
B43641034,3643,"CARRILLOMARIN, SLL",21/05/2001,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,urb. ELS HOSTALETS C/ ALT PENEDÈS núm. 2,[ 43151 ],"Pallaresos, Els",Tarragonès,TARRAGONA,3006,1,3006,2,0,0,1,0,0
B62525621,3646,"LENCERIA DE TEMPORADA BOHEMIA, SLL",22/05/2001,[ 4690 ],Comerç a l'engròs no especialitzat,SERVEIS,C. ÀNGEL GUIMERÀ núm. 7-9,[ 08190 ],Sant Cugat Del Vallès,Vallès Occidental,BARCELONA,3006,1,3006,1,1,0,1,0,0
B62517412,3647,"ESTRUCTURAS METALICAS FERTESA, SLL",22/05/2001,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,"CAMÍ CAMI CAN VINYALS, 3 A",[ 08213 ],Polinyà,Vallès Occidental,BARCELONA,27000,100,544,4,0,0,0,0,0
B62475736,3648,"JAPONDEATO, SLL",23/05/2001,[ 9602 ],Perruqueria i altres tractaments de bellesa,SERVEIS,PG. CORDELLAS núm. 7-11 Pis 5È,[ 08290 ],Cerdanyola Del Vallès,Vallès Occidental,BARCELONA,3010,1,3010,1,1,2,0,0,0
B62524327,3652,"PASEO 22 JULIO, SLL",24/05/2001,[ 4762 ],Comerç al detall de periòdics i articles de papereria en establiments especialitzats,SERVEIS,PG. VINT-I-DOS DE JULIOL núm. 327 Pis BAIXOS Porta LOC,[ 08221 ],Terrassa,Vallès Occidental,BARCELONA,3006,6,501,2,0,0,1,0,0
B62561105,3653,"SERVEIS EDITORIALS TRACK 20, SLL",24/05/2001,[ 1812 ],Altres activitats d'impressió i arts gràfiques,INDÚSTRIA,C. LLUÍS SAGNIER núm. 59 Pis TENDA Porta 1,[ 08032 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,1,1,1,1,0,0
B62551502,3654,"ADITIVOS ALIMENTARIOS CAPILLAS, SLL",24/05/2001,[ 517 ],Altres tipus de comerç a l'engròs,SERVEIS,C. MIQUEL SERVET núm. 222 Pis BAIXOS,[ 08915 ],Badalona,Barcelonès,BARCELONA,3006,1,3006,3,0,0,0,0,0
B62535174,3655,"THUMBY COLCHON, SLL",24/05/2001,[ 51475 ],Comerç a l'engròs d'altres articles d'ús domèstic,SERVEIS,C. MONISTROL núm. 35-37 Pis BAIXOS Porta 3A,[ 08012 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,1,1,1,0,0,0
B62551445,3657,"LA COLINA DE LA HAMBURGUESA, SLL",24/05/2001,[ 5630 ],Establiments de begudes,SERVEIS,C. SEVERO OCHOA núm. 123,[ 08906 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,3006,1,3006,2,0,1,0,0,0
B62515747,3658,"SERVITIUM, SLL",24/05/2001,[ 8812 ],Activitats de serveis socials sense allotjament a persones amb discapacitat,SERVEIS,AV. BARCELONA núm. 12,[ 08720 ],Vilafranca Del Penedès,Alt Penedès,BARCELONA,3606,601,6,0,3,0,0,0,0
B62554860,3661,"PLAESCO-INTERIORES, SLL",28/05/2001,[ 4121 ],Construcció d'edificis residencials,CONSTRUCCIÓ,C. CÒRSEGA núm. 442,[ 08037 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,1,2,0,0,0,0
B43636208,3665,"BASTIDA FARRO, SLL",29/05/2001,[ 4642 ],Comerç a l'engròs de peces de vestir i calçat,SERVEIS,PG. SUNYER núm. 44,[ 43202 ],Reus,Baix Camp,TARRAGONA,63400,100,634,4,0,0,1,0,0
B62552666,3667,"FRAJO 2002, SLL",29/05/2001,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. PORTALET núm. 14 Pis BAIXOS,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,3012,1,3012,2,1,0,1,0,0
B62567433,3669,"ANIVELLAMENTS VIAPLANA, SLL",29/05/2001,[ 4312 ],Moviments de terres,CONSTRUCCIÓ,C. SANT OLEGUER núm. 7,[ 08184 ],Palau-Solità I Plegamans,Vallès Occidental,BARCELONA,3006,3,1002,1,1,1,0,0,0
B17670019,3671,"PER LLEPAR-SE ELS DITS, MENJAR PER EMPORTAR, SLL",31/05/2001,[ 5552 ],Provisió de menjars preparats,SERVEIS,C. SERAFÍ PITARRA núm. 4 Pis BAIXOS,[ 17520 ],Puigcerdà,Cerdanya,GIRONA,3024,6,504,0,2,0,1,0,0
B62572094,3679,"COMO, GABINETE DE COMUNICACION, SLL",05/06/2001,[ 7021 ],Relacions públiques i comunicació,SERVEIS,PG. DOCTOR PI I MOLIST núm. 133 Pis MÒDUL Porta 2,[ 08031 ],Barcelona,Barcelonès,BARCELONA,3006,3,1002,1,1,1,0,0,0
B17667163,3680,"GIROSTUC, SLL",05/06/2001,[ 4334 ],Pintura i vidrieria,CONSTRUCCIÓ,C. JOSEP M. PRAT núm. 9 Pis 4T Porta 2A,[ 17007 ],Girona,Gironès,GIRONA,3015,1,3015,2,0,0,1,0,0
B62570312,3684,"INFORMATION TECHNOLOGIES & GRAFIC, SLL",06/06/2001,[ 7414 ],Consulta i assessorament sobre direcció i gestió empresarial,SERVEIS,C. COMTE BORRELL núm. 155 Pis LOCAL Porta 4,[ 08015 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,2,1,0,0,0,0
B62525415,3685,"SERCOMRED 2001, SLL",06/06/2001,[ 52488 ],Altres tipus de comerç al detall,SERVEIS,C. MARQUES DE CAMPO SAGRADO núm. 24 Pis 2N Porta 3A,[ 08015 ],Barcelona,Barcelonès,BARCELONA,3006,1,3006,2,0,0,1,0,0
B62549498,3686,"ACABADOS VALLPI, SLL",07/06/2001,[ 3299 ],Altres indústries manufactureres diverses ncaa,INDÚSTRIA,C. PAU VERGÓS núm. 63 B,[ 08850 ],Gavà,Baix Llobregat,BARCELONA,3006,1,3006,2,0,1,1,0,0
B62567268,3687,"VERONICA MASSA, SLL",07/06/2001,[ 9602 ],Perruqueria i altres tractaments de bellesa,SERVEIS,PTGE. FERRAN LLÀCER núm. 28 Pis BAIXOS,[ 08208 ],Sabadell,Vallès Occidental,BARCELONA,3030,10,303,1,1,0,1,0,0
B62576590,3690,"POL VIATGES, SLL",08/06/2001,[ 7912 ],Activitats dels operadors turístics,SERVEIS,C. VIA AUGUSTA núm. 29 Pis 6È Porta 3A,[ 08911 ],Badalona,Barcelonès,BARCELONA,61000,10,6100,1,1,2,0,0,0
B17670761,3691,"MONEST, SLL",12/06/2001,[ 748 ],Activitats empresarials diverses,SERVEIS,C. CANIGÓ núm. 9 Pis BAIXOS,[ 17520 ],Puigcerdà,Cerdanya,GIRONA,36060,10,3606,1,1,0,1,0,0
B17672072,3696,"GRANJA MAJOR, SLL",14/06/2001,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. MAJOR núm. 15,[ 17520 ],Puigcerdà,Cerdanya,GIRONA,3024,6,504,1,1,0,1,0,0
B62527577,3697,"FINSABEL, SLL",14/06/2001,[ 4121 ],Construcció d'edificis residencials,CONSTRUCCIÓ,AV. MEDITERRANI núm. 8 Pis 2N Porta A,[ 08214 ],Badia Del Vallès,Vallès Occidental,BARCELONA,3006,3,1002,2,0,1,0,0,0
B62559661,3698,"SIMET VALLES, SLL",15/06/2001,[ 4677 ],Comerç a l'engròs de ferralla i productes de rebuig,SERVEIS,C. CONSTANTÍ núm. 4 Pis BAIXOS Porta 4A,[ 08206 ],Sabadell,Vallès Occidental,BARCELONA,3006,1,3006,1,1,0,1,0,0
B17656596,3701,"AUTO TALLER VI-ES, SLL",19/06/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,CTRA. DE VILAVENT núm. S/N,[ 17820 ],Banyoles,Pla de l'Estany,GIRONA,6010,1,6010,2,0,0,2,0,0
B17669185,3704,"LABORATORI DENTAL OLGA MUÑOZ, SLL",19/06/2001,[ 3250 ],Fabricació d'instruments i subministraments mèdics i odontològics,INDÚSTRIA,C. PROGRÉS núm. 41 Pis ENTL. Porta 2A,[ 17500 ],Ripoll,Ripollès,GIRONA,3960,40,99,0,2,0,1,0,0
B25479247,3705,"MIMOUN TEXTIL, SLL",20/06/2001,[ 4677 ],Comerç a l'engròs de ferralla i productes de rebuig,SERVEIS,C. INDÚSTRIA núm. 19 Pis BAIXOS,[ 25270 ],Sant Guim De Freixenet,Segarra,LLEIDA,3006,1,3006,1,1,1,0,0,0
B17672049,3707,"EL TE DELS CIUTADANS, SLL",20/06/2001,[ 51382 ],Comerç a l'engròs d'altres productes alimentaris,SERVEIS,C. ASTURIES núm. 50 Pis BAIXOS Porta 2A,[ 08012 ],Barcelona,Barcelonès,BARCELONA,5409,1,5409,1,1,1,0,0,0
B17671769,3710,"TALLER MECANIC RESTRUDIS, SLL",20/06/2001,[ 4520 ],Manteniment i reparació de vehicles de motor,SERVEIS,pi. PONENT núm. 5 Polígon II,[ 17240 ],Llagostera,Gironès,GIRONA,3009,1,3009,1,2,0,0,0,0
B17673682,3717,"TRANS RAPID CERDANYA, SLL",22/06/2001,[ 6024 ],Transport de mercaderies per carretera,SERVEIS,CTRA. DE VILALLOVENT núm. 19,[ 17520 ],Puigcerdà,Cerdanya,GIRONA,19000,1,19000,2,0,0,2,0,0
B62559224,3718,"JISCRI, SLL",22/06/2001,[ 1419 ],Confecció d'altres tipus de peces de vestir i accessoris,INDÚSTRIA,C. ESPIRALL núm. 58 Bloc 6 Pis LOCAL Porta 4,[ 08720 ],Vilafranca Del Penedès,Alt Penedès,BARCELONA,3009,1,3009,1,1,1,0,0,0
B62593298,3728,"JENDAXA TRANS, SLL",27/06/2001,[ 6024 ],Transport de mercaderies per carretera,SERVEIS,C. SANT SADURNI núm. 2 Pis 2N Porta 5A,[ 08720 ],Vilafranca Del Penedès,Alt Penedès,BARCELONA,3606,1,21000,2,0,0,0,0,0
B62548540,3729,"VALLES VIA-SAT, SLL",27/06/2001,[ 517 ],Altres tipus de comerç a l'engròs,SERVEIS,AV. ABAT MARCET núm. 271 BIS Pis LOCAL Porta 4,[ 08228 ],Terrassa,Vallès Occidental,BARCELONA,3024,6,504,2,0,0,2,0,0
B62538962,3730,"METAGENOS, SLL",29/06/2001,[ 513 ],"Comerç a l'engròs de productes alimentaris, begudes i tabac",SERVEIS,C. PROGRES núm. 2 Pis BAIXOS,[ 08500 ],Vic,Osona,BARCELONA,3600,60,724,1,0,0,0,0,0
B62611090,3802,"SARIMA HOSTELERA 2001, SLL",27/07/2001,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. BALMES núm. 21,[ 08291 ],Ripollet,Vallès Occidental,BARCELONA,3010,1,3010,1,1,1,1,0,0
B62531710,3731,"EXCAVACIONES JUMI, SLL",29/06/2001,[ 4121 ],Construcció d'edificis residencials,CONSTRUCCIÓ,C. BAIXA DE SANT PERE núm. 20 Pis 1R Porta 2A,[ 08110 ],Montcada I Reixac,Vallès Occidental,BARCELONA,3006,1,3006,2,0,0,1,0,0
