CIF,Núm. inscripció,Nom societat,Data constitució,CCAE,Descripció CCAE,Sector,Adreça,CP,Municipi,Comarca,Província,Capital social inicial,Valor nom. Acc. Part.,Núm. total acc/part,Socis,Sòcies (dones),Socis no treballadors,Sòcies no treballadores (dones),Persones jurídiques privades,Persones jurídiques públiques
A60609492,1458,"MEDITERRANIA 94, SAL",19/10/1994,[ 517 ],Altres tipus de comerç a l'engròs,SERVEIS,C. SALVADOR ESPRIU núm. 65-67 Pis 4T Porta 2A,[ 08005 ],Barcelona,Barcelonès,BARCELONA,6010121,601,1000,2,1,1,0,0,0
B64493844,6710,"MECAPINETONS 2007, SLL",07/12/2007,[ 2561 ],Tractament i revestiment de metalls,INDÚSTRIA,"pol. PINETONS, TORRENT TORTUGUER núm. 7 Nau 3",[ 08291 ],Ripollet,Vallès Occidental,BARCELONA,157516,32,157516,6,1,1,0,0,0
B62678933,4078,"MULTISERVEIS D'ASSESSORAMENT I MACROGESTIO INTEGRAL, SLL",17/12/2001,[ 741 ],"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",SERVEIS,C. SANT JOAN D'EN COLL núm. 19 Pis 3R Porta 3A,[ 08240 ],Manresa,Bages,BARCELONA,3006,1,3006,1,1,0,1,0,0
B17682436,3955,"LA TABERNA DEL BON VI, SLL",22/10/2001,[ 522 ],"Comerç al detall d'aliments, begudes i tabac en establiments especialitzats",SERVEIS,PL. MAJOR núm. 4 Pis BAIXOS,[ 17860 ],Sant Joan De Les Abadesses,Ripollès,GIRONA,300594,2947,102,1,1,1,0,0,0
B43637529,3719,"X. TORDERA ELECTRONICA, SLL",25/06/2001,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. SANT ANTONI núm. 67,[ 43530 ],Alcanar,Montsià,TARRAGONA,3030,999,303,1,1,0,1,0,0
A58927799,864,"MIRALL CONFECCIONES, SAL",04/04/1989,[ 1419 ],Confecció d'altres tipus de peces de vestir i accessoris,INDÚSTRIA,C. HUELVA núm. 1,[ 08860 ],Castelldefels,Baix Llobregat,BARCELONA,601012,601,100,2,2,0,0,0,0
A58738030,793,"ARS RESTAURO, SAL",16/01/1989,[ 4618 ],Intermediaris del comerç especialitzat en la venda d'altres productes,SERVEIS,AV. MARQUÉS DE COMILLAS núm. S/N,[ 08004 ],Barcelona,Barcelonès,BARCELONA,360607,601,600,2,1,1,0,0,0
A60645066,1482,"COMASIAL, SAL",27/12/1994,[ 4673 ],"Comerç a l'engròs de fusta, materials de construcció i aparells sanitaris",SERVEIS,C. ISAAC PERAL núm. 59 Pis 1R Porta DES,[ 08224 ],Terrassa,Vallès Occidental,BARCELONA,6010121,601,1000,2,1,2,1,0,0
B62893763,4740,"EXCAVACIONS I TRANSPORTS SEBASTIA VIVET, SLL",08/11/2002,[ 4312 ],Moviments de terres,CONSTRUCCIÓ,C. MARE DE DEU DE LA GLEVA núm. 8,[ 08519 ],"Masies De Voltregà, Les",Osona,BARCELONA,3021,1007,300,1,1,1,0,0,0
A58339987,123,"DEBOLS, SAL",25/02/1987,[ 1512 ],Fabricació d'articles de marroquineria i viatge; articles de guarnicioneria i talabarderia,INDÚSTRIA,C. PUIGCERDÀ núm. 127,[ 08019 ],Barcelona,Barcelonès,BARCELONA,3005061,601,500,2,2,0,0,0,0
B62131024,2858,"PATRICO TRADE, SLL",16/02/2000,[ 4633 ],"Comerç a l'engròs de productes lactis, ous, olis i greixos comestibles",SERVEIS,RDA. SANT ANTONI núm. 61 Pis 8È Porta 1A,[ 08011 ],Barcelona,Barcelonès,BARCELONA,301106,601,501,1,1,1,0,0,0
A59302489,610,"PINTURAS J.A.F., SAL",25/03/1988,[ 4334 ],Pintura i vidrieria,CONSTRUCCIÓ,via SANT OLEGUER núm. 54 Pis LOCAL Porta 3,[ 08210 ],Barberà Del Vallès,Vallès Occidental,BARCELONA,126213,601,210,2,1,1,1,0,0
A58924853,857,"MI VIDEO CLUB, SAL",30/03/1989,[ 524 ],Altres tipus de comerç al detall d'articles nous en establiments especialitzats,SERVEIS,C. SANTA EULALIA núm. 14-16,[ 08902 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,601012,601,100,2,1,1,0,0,0
A60341849,1289,"SPASAL ELECTRÓNICA E INFORMÁTICA, SAL",26/07/1993,[ 2611 ],Fabricació de components electrònics,INDÚSTRIA,CTRA. BARCELONA CANT. PTGE. MITJORN núm. 47,[ 08840 ],Viladecans,Baix Llobregat,BARCELONA,6010121,601,10000,2,1,1,0,0,0
A60982618,1621,"FILATS MASIES, SAL",27/09/1996,[ 1310 ],Preparació i filatura de fibres tèxtils,INDÚSTRIA,C. AFORES núm. S/N,[ 08519 ],"Masies De Voltregà, Les",Osona,BARCELONA,6010121,3005,2000,9,8,0,0,0,0
A58411752,331,"IBERCADEN, SAL",08/09/1987,[ 2829 ],Fabricació d'altre tipus de maquinària d'ús general ncaa,INDÚSTRIA,RBLA. CATALUNYA núm. 78,[ 08008 ],Barcelona,Barcelonès,BARCELONA,7073912,601,1177,5,5,0,0,0,0
B61440376,1707,"ELECTRICITAT MANLLEU, SLL",03/10/1997,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,AV. ROMA núm. 202 Pis BAIXOS,[ 08560 ],Manlleu,Osona,BARCELONA,300506,301,500,3,2,0,0,0,0
A58602442,801,"TECNICALDER, SAL",23/01/1989,[ 2829 ],Fabricació d'altre tipus de maquinària d'ús general ncaa,INDÚSTRIA,AV. BARCELONA núm. 164,[ 08690 ],Santa Coloma De Gramenet,Barcelonès,BARCELONA,37490534,601,62379,15,15,0,0,0,0
B61391751,1667,"ALQUILER DE TOLDOS Y MANUFACTURAS REILU, SLL",18/06/1997,[ 71404 ],Lloguer d'altres efectes personals,SERVEIS,C. TEIXIDORES núm. 17,[ 08918 ],Badalona,Barcelonès,BARCELONA,306516,601,510,1,1,1,0,0,0
A60304227,1233,"PROPAGANDA 655, SAL",23/04/1993,[ 744 ],Publicitat,SERVEIS,via LAIETANA núm. 45 Pis 7È Porta 1A,[ 08003 ],Barcelona,Barcelonès,BARCELONA,6010121,601,1000,1,1,2,1,0,0
B61728796,2173,"TATTOO-SUM, SLL",04/11/1998,[ 4690 ],Comerç a l'engròs no especialitzat,SERVEIS,C. VILAMARI núm. 126 Pis TENDA Porta 2A,[ 08015 ],Barcelona,Barcelonès,BARCELONA,300506,601,500,2,1,1,0,0,0
B61552295,1809,"ASDBEARINGS, SLL",11/02/1998,[ 4614 ],"Intermediaris del comerç de maquinària, equips industrials, embarcacions i aeronaus",SERVEIS,C. CALASANZ DURáN núm. 41 E Pis 5È Porta 4A,[ 08204 ],Sabadell,Vallès Occidental,BARCELONA,301107,601,501,1,1,1,0,0,0
B55005110,6863,"4 HYDRENSOR, SLL",08/09/2008,[ 4752 ],"Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats",SERVEIS,C. LLEVANT núm. 4,[ 17180 ],Vilablareix,Gironès,GIRONA,57375,5,114750,1,1,1,0,0,0
A60166584,1184,"MOMIBA, SAL",11/12/1992,[ 3312 ],Reparació de maquinària,INDÚSTRIA,C. Noguera núm. 24 Polígon Can Carner,[ 08211 ],Castellar Del Vallès,Vallès Occidental,BARCELONA,6016732,601,23258,8,0,0,0,0,0
B60413218,1959,"WINGS CATALUNYA, SLL",04/06/1998,[ 4941 ],"Transport de mercaderies per carretera, excepte servei de mudances",SERVEIS,"NC AEROPORT DE BARCELONA, TERMINA Pis DESPATX 15",[ 08820 ],"Prat De Llobregat, El",Baix Llobregat,BARCELONA,300506,601,500,2,1,1,0,0,0
A43356476,1166,"ELECTROMECANICA Y PINTURA INDUSTRIAL, SAL",15/10/1992,[ 2562 ],Enginyeria mecànica general per compte d'altri,INDÚSTRIA,C. OLIVERA núm. 21,[ 43500 ],Tortosa,Baix Ebre,TARRAGONA,6010121,601,100,3,2,1,0,0,0
A58567652,769,"ESTAMPACIONES MOLDES Y MATRICES, SAL",09/12/1988,[ 2550 ],"Forja, estampació i embotició de metalls; pulverimetal·lúrgia",INDÚSTRIA,AV. SANT JULIÀ núm. S/N Polígon CONGOST,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,601012,601,100,3,2,0,0,0,0
A60298676,1261,"FRANMAJOR, SLL",21/05/1993,[ 1621 ],Fabricació de fulloles i taulers de fusta,INDÚSTRIA,C. SANT MÀRTIRS núm. 21 Pis BAIXOS,[ 08339 ],Vilassar De Dalt,Maresme,BARCELONA,6010121,601,1000,2,2,0,0,0,0
A58610171,785,"IMETEX SABADELL, SAL",03/01/1989,[ 2894 ],"Fabricació de maquinària per a les indústries tèxtils, de la confecció i del cuir",INDÚSTRIA,C. GERMANS FARGUELL núm. 57,[ 08205 ],Sabadell,Vallès Occidental,BARCELONA,1803036,601,300,2,2,2,1,0,0
A59805044,1056,"ARIDAC, SAL",09/07/1991,[ 2511 ],Fabricació d'estructures metàl·liques i els seus components,INDÚSTRIA,C. ISAAC PERAL núm. 9,[ 08420 ],Canovelles,Vallès Oriental,BARCELONA,6010121,601,10000,2,2,0,0,0,0
A59430686,1027,"DORGAVI, SAL",24/12/1990,[ 1512 ],Fabricació d'articles de marroquineria i viatge; articles de guarnicioneria i talabarderia,INDÚSTRIA,C. ALBERT EINSTEIN núm. 54 Pis BAIXOS Nau 7,[ 08940 ],Cornellà De Llobregat,Baix Llobregat,BARCELONA,7212145,601,1200,2,1,1,0,0,0
A43209444,879,"SOPICA, SAL",27/04/1989,[ 602 ],Altres tipus de transport terrestre,SERVEIS,C. HIGINI ANGLÈS núm. 4 Pis 1R Porta 6A,[ 43001 ],Tarragona,Tarragonès,TARRAGONA,6010121,601,100,2,2,0,0,0,0
B61947727,2468,"EL COBRADOR ESCOCES, SLL",20/05/1999,[ 741 ],"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",SERVEIS,RDA. UNIVERSITAT núm. 21,[ 08007 ],Barcelona,Barcelonès,BARCELONA,301107,601,501,1,1,1,0,0,0
B43532209,1980,"MESON BOHEMIOS, SLL",18/06/1998,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. S. ANTONI M. CLARET núm. 22 Pis BAIXOS,[ 43204 ],Reus,Baix Camp,TARRAGONA,301107,601,501,2,1,0,0,0,0
B65005514,6930,"MARCS DIPUTACIO, SLL",09/02/2009,[ 4759 ],"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats",SERVEIS,C. DIPUTACIÓ núm. 315 Pis BAIXOS Porta ESQ,[ 08009 ],Barcelona,Barcelonès,BARCELONA,10514907,1,10514097,1,2,0,0,0,0
A08840316,1163,"CALCOMANIAS Y ESPECIALIDADES GRÀFICAS, SAL",15/10/1992,[ 1722 ],"Fabricació d'articles de paper i de cartó per a ús domèstic, sanitari i higiènic",INDÚSTRIA,C. DESTRALETA núm. S/N,[ 08940 ],Cornellà De Llobregat,Baix Llobregat,BARCELONA,6010121,1202,500,14,13,0,0,0,0
B61465530,1779,"HILATURAS SAMOT, SLL",19/01/1998,[ 1310 ],Preparació i filatura de fibres tèxtils,INDÚSTRIA,AV. DEL VALLÈS núm. 141,[ 08223 ],Terrassa,Vallès Occidental,BARCELONA,301107,601,501,2,1,0,0,0,0
B61556759,1835,"ARTES GRAFICAS CORNELLA, SLL",23/02/1998,[ 1812 ],Altres activitats d'impressió i arts gràfiques,INDÚSTRIA,C. SEVILLA núm. 7-9 Pis LOCAL Porta 1,[ 08940 ],Cornellà De Llobregat,Baix Llobregat,BARCELONA,721215,601,1200,2,1,0,0,0,0
A58821034,956,"INSTALACIONES FRANC, SAL",05/10/1989,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,PL. COPERNIC núm. 4 Pis BAIXOS Porta 2A,[ 08206 ],Sabadell,Vallès Occidental,BARCELONA,601012,601,1000,2,1,1,0,0,0
A58533910,583,"HIERROS MOYANO, SAL",10/03/1988,[ 4339 ],Altres treballs d'acabament d'edificis,CONSTRUCCIÓ,C. PENYISCOLA núm. 37,[ 08906 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,901518,601,150,3,2,0,0,0,0
B61458394,1776,"AMBIENTACION MUSICAL PINO'S HERMANOS, SLL",15/01/1998,[ 5630 ],Establiments de begudes,SERVEIS,AV. MARTÍ PUJOL núm. 272,[ 08911 ],Badalona,Barcelonès,BARCELONA,6004111,601,999,1,1,1,0,0,0
A58041138,437,"TUBOS Y ENVASES COLL, SAL",19/11/1987,[ 1721 ],Fabricació de paper i de cartó ondulats; fabricació d'envasos i embalatges de paper i de cartó,INDÚSTRIA,CAMÍ REIAL núm. 43,[ 08292 ],Esparreguera,Baix Llobregat,BARCELONA,4207085,601,700,3,3,0,0,0,0
B43527209,2073,"DELFIN GOMEZ E HIJOS, SLL",02/09/1998,[ 6024 ],Transport de mercaderies per carretera,SERVEIS,C. HOLANDA núm. 16 Pis 2N Porta 1A,[ 43870 ],Amposta,Montsià,TARRAGONA,300506,601,2000,2,0,1,1,0,0
A60853116,1543,"AT3-CON, SAL",14/06/1995,[ 2599 ],Fabricació d'altres productes metàl·lics ncaa,INDÚSTRIA,C. RIAL BELLSOLELL núm. S/N,[ 08358 ],Arenys De Munt,Maresme,BARCELONA,6010121,601,10000,12,11,0,0,0,0
A61033551,1590,"MAR TAPAS BAR, SAL",16/02/1996,[ 5630 ],Establiments de begudes,SERVEIS,C. PROVENÇA núm. 205,[ 08008 ],Barcelona,Barcelonès,BARCELONA,6010121,601,1000,2,2,0,0,0,0
B61660502,2049,"MANUFACTURAS BELMA, SLL",27/07/1998,[ 45211 ],Construcció d'edificis,CONSTRUCCIÓ,C. PEREZ GALDÓS núm. 24 Pis BAIXOS,[ 08913 ],Badalona,Barcelonès,BARCELONA,300506,601,500,2,2,0,0,0,0
B64614472,6723,"COMERCIAL EUROPEA DE EQUIPOS DE PROTECCIÓN INDIVIDUAL Y SEGURIDAD, SLL",24/01/2008,[ 4778 ],Comerç al detall d'altres tipus d'articles nous en establiments especialitzats,SERVEIS,"CTRA. DE RELLINARS núm. 65, LOCAL",[ 08228 ],Terrassa,Vallès Occidental,BARCELONA,73360,917,8000,2,0,0,2,0,0
A58635467,859,"TINTES FILCOLOR, SAL",30/03/1989,[ 1330 ],Acabament de tèxtils,INDÚSTRIA,CTRA. DE MONCADA núm. 269,[ 08221 ],Terrassa,Vallès Occidental,BARCELONA,28247569,301,94000,10,9,1,0,0,0
A08806861,290,"ENCUADERNACIONES NADAL, SAL",22/07/1987,[ 1814 ],Enquadernació i activitats dels serveis que s'hi relacionen,INDÚSTRIA,C. NADAL núm. 40 Pis BAIXOS,[ 08030 ],Barcelona,Barcelonès,BARCELONA,294496,601,49,3,3,0,0,0,0
