persones_jur_diques_p_bliques,persones_jur_diques_privades,s_cies_no_treballadores_dones,socis_no_treballadors,s_cies_dones,socis,n_m_total_acc_part,valor_nom_acc_part,capital_social_inicial,data_constituci,prov_ncia,comarca,municipi,cp,adre_a,sector,descripci_ccae,ccae,nom_societat,cif,n_m_inscripci
0,0,0,0,1,1,300,10,3000,2021-09-08T00:00:00.000,BARCELONA,Vallès Occidental,Rubí (Rubí),[ 08191 ],C. PARIS núm. 16 Pis NAU Porta 3,CONSTRUCCIÓ,Construcció d'edificis no residencials,[ 4122 ],"DYNAMIC VERTICAL SOLUTIONS, SLL",B06870547,7737
0,0,0,0,1,5,29000,1,29000,2015-02-20T00:00:00.000,BARCELONA,Baix Llobregat,Esparreguera,[ 08292 ],C. Mestre Feliu Monne núm. 26 Pis 2 Porta 3,SERVEIS,"Transport de mercaderies per carretera, excepte servei de mudances",[ 4941 ],"TRANSPORTES 4 DRIVERS, SLL",B66473620,7626
0,1,0,0,1,1,555,100,55500,2015-12-22T00:00:00.000,BARCELONA,Vallès Occidental,Sabadell,[ 08002 ],C. CAN LLETGET Nau 11,SERVEIS,Educació relacionada amb l'esport i les activitats recreatives,[ 8551 ],"GAC COMMUNICATION AND ENTERTAINMENT, SLL",B66664772,7664
0,0,0,1,2,0,60204,1,60204,2006-11-28T00:00:00.000,BARCELONA,Vallès Occidental,Terrassa,[ 08228 ],"C. C/ BLASCO DE GARAY, 89""""",SERVEIS,Activitats de les agències de viatges,[ 7911 ],"VIATGES GARAY, SLL",B64289580,6482
0,0,0,1,0,2,3900,10,39000,2006-11-06T00:00:00.000,TARRAGONA,Montsià,Amposta,[ 43870 ],"C. C/ BOLIVIA, 56, 1R 2A""""",INDÚSTRIA,Fabricació de tancaments metàl·lics,[ 2512 ],"ALUMINIS MONTSIA PERSIANES I VIDRES, SLL",B43871375,6464
0,0,1,1,1,1,200,601,1202024,1998-02-05T00:00:00.000,GIRONA,Baix Empordà,Calonge,[ 17251 ],"urb. MAS PERE, RESTAURANT """"LA FIG""",SERVEIS,Restaurants i establiments de menjars,[ 5610 ],"BAIX EMPORDA-2000, SLL",B17533035,1799
0,0,2,0,0,2,30000,1,30000,2007-07-11T00:00:00.000,BARCELONA,Baix Llobregat,Molins De Rei,[ 08750 ],"C. C/ JACINT VERDAGUER, 63""""",SERVEIS,Activitats d'agents i corredors d'assegurances,[ 6622 ],"LABER GESTION DE RIESGOS, SLL",B64248271,6629
0,0,1,0,1,1,600,70,42000,2007-05-09T00:00:00.000,GIRONA,Gironès,Girona,[ 17002 ],"C. C/ SANT ANTONI MARIA CLARET,""",SERVEIS,Activitats d'agents i corredors d'assegurances,[ 6622 ],"BUGOBLA, SLL",B17934910,6571
0,0,0,1,2,0,276,50,13800,2007-06-01T00:00:00.000,GIRONA,Selva,Vilobí D'Onyar,[ 17185 ],"C. CTRA. SANTA COLOMA. URB. CAN""",SERVEIS,Activitats odontològiques,[ 8623 ],"CLINICA DENTAL FARNES, SLL",B17945627,6588
0,0,0,0,1,2,15000,1,15000,2006-10-20T00:00:00.000,BARCELONA,Baix Llobregat,Olesa De Montserrat,[ 08640 ],"C. GRUP SANTA OLIVA II, BLOC 6-A""",CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"EVACUACIONES EN PVC J. J., SLL",B64300593,6457
0,0,0,0,3,0,360,100,36000,2006-12-11T00:00:00.000,BARCELONA,Maresme,Mataró,[ 08304 ],"C. C/ CAMÍ CA LA MADRONA, 16""""",INDÚSTRIA,Fabricació de teixits tèxtils,[ 1320 ],"TRB BY TRUBLU, SLL",B64315112,6489
0,0,1,0,0,2,540,100,54000,2006-10-06T00:00:00.000,TARRAGONA,Montsià,Sant Carles De La Ràpita,[ 43540 ],"C. C/ MESTRE FARGAS, 55, 1R""""",SERVEIS,Lloguer de maquinària i equips per a construcció i enginyeria civil,[ 71320 ],"ANDAMIOS VEZMA, SLL",B43864347,6447
0,0,0,0,0,3,363,100,36300,2007-01-31T00:00:00.000,LLEIDA,Segrià,Lleida,[ 25005 ],"C. C/ RIPOLLÈS, 2, 2N 3R""""",SERVEIS,Transport de mercaderies per carretera,[ 6024 ],"APANOIS TRANS, SLL",B25626268,6517
0,0,1,0,1,1,37500,1,37500,2006-11-16T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08025 ],"C. C/ ROSSELLÓ, 361""""",SERVEIS,Restaurants i establiments de menjars,[ 5610 ],"RAHMAMINA, SLL",B64326606,6478
0,0,0,1,0,2,3009,1,3009,2007-08-21T00:00:00.000,BARCELONA,Vallès Occidental,Terrassa,[ 08228 ],"C. C/ VICTORIA, 39 LOCAL""""",CONSTRUCCIÓ,"Lampisteria, instal·lacions de calefacció i aire condicionat",[ 4322 ],"KLIMA VALLES AIR SYSTEM, SLL",B64573744,6645
0,0,0,1,2,1,6000,10,60000,2006-07-27T00:00:00.000,BARCELONA,Bages,Castellgalí,[ 08297 ],"C. C/BERGUEDÀ 1, URBANITZACIÓ""",CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"LA CLAU DE MAS PLANOI, SLL",B64236656,6403
0,0,0,1,0,2,51360,1,51360,2007-04-27T00:00:00.000,TARRAGONA,Baix Ebre,Deltebre,[ 43580 ],"C. C/ MESTRE FELIX GRACIA, 18""""",SERVEIS,Activitats immobiliàries per compte propi,[ 701 ],"EDILAVA, SLL",B43892702,6566
0,0,0,1,1,1,48000,1,48000,2006-08-29T00:00:00.000,BARCELONA,Baix Llobregat,Gavà,[ 08850 ],"C. C/ SALVADOR LLUCH, 3, BAIXOS""""",SERVEIS,Comerç al detall de peces de vestir en establiments especialitzats,[ 4771 ],"ELEGANTS PEOPLE, SLL",B64028145,6422
0,0,1,0,0,2,42000,1,42000,2007-05-28T00:00:00.000,LLEIDA,Segrià,Lleida,[ 25001 ],"C. C/ LES ROSES, 32 BAIXOS""""",CONSTRUCCIÓ,Instal·lacions elèctriques,[ 4321 ],"ELECTROHIDRAULICA DE PONENT, SLL",B25629395,6585
0,0,0,1,0,2,6012,1,6012,2007-07-19T00:00:00.000,BARCELONA,Vallès Occidental,Santa Perpètua De Mogoda,[ 08130 ],"C. CTRA.SAB-MOLLET,KM.4,5. POL.S""",SERVEIS,Manteniment i reparació de vehicles de motor,[ 4520 ],"THREE STARTS COLECCION, SLL",B64549710,6634
0,0,0,1,0,2,3006,1,3006,2006-09-19T00:00:00.000,BARCELONA,Baix Llobregat,Esplugues De Llobregat,[ 08950 ],"C. C/ SANT FRANCESC XAVIER, 49,""",SERVEIS,"Creació artística i literària; interpretació d'art dramàtic, música i similars",[ 92311 ],"SAX PRODUCTIONS, SLL",B64198476,6436
0,0,0,0,3,0,21912,1,21912,2006-07-21T00:00:00.000,BARCELONA,Barcelonès,"Hospitalet De Llobregat, L'",[ 08905 ],"C. C/ JARDÍ, 73, TENDA 1""""",SERVEIS,Establiments de begudes,[ 5630 ],"LAS CHUCHES 2006, SLL",B64235476,6401
0,0,0,0,3,0,3006,1,3006,2006-09-21T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08012 ],"C. C/ BENET I MERCADÉ, 14, 1R 3""",SERVEIS,Activitats sanitàries de professionals independents (excepte els metges),[ 85141 ],"IO-IO EDUCACIO EMOCIONAL, SLL",B64282486,6441
0,0,0,1,1,1,99,31,3069,2006-08-02T00:00:00.000,BARCELONA,Maresme,Mataró,[ 08304 ],"C. RONDA JOAN PEIRÓ, 62""""",SERVEIS,Transport de mercaderies per carretera,[ 6024 ],"2006 CATALANA DE TRANSPORTS EXCLUSIUS, SLL",B64241060,6405
0,0,0,0,1,2,21000,1,21000,2007-10-03T00:00:00.000,TARRAGONA,Tarragonès,Vila-Seca,[ 43480 ],"C. C/ TENOR JOSEP FORASTER, 3, 3""",SERVEIS,Arts escèniques,[ 9001 ],"SERVICIOS ARTISTICOS GARITA MONTESINOS, SLL",B43891001,6679
0,0,0,1,1,1,72000,1,72000,2006-10-30T00:00:00.000,BARCELONA,Baix Llobregat,Vallirana,[ 08759 ],"C. C/ SANT MATEU, 22-24, ENTRESO""",SERVEIS,Clubs i escoles esportives,[ 92621 ],"KOUN-SUERTE, SLL",B64256779,6461
0,0,0,0,0,3,4890,10,48900,2006-09-18T00:00:00.000,BARCELONA,Vallès Occidental,Cerdanyola Del Vallès,[ 08290 ],"C. C/CAMPOAMAR S/N,NAU 12E I 12F""",INDÚSTRIA,Fabricació d'estructures metàl·liques i els seus components,[ 2511 ],"MONCETUB 1296, SLL",B64271109,6433
0,0,1,0,0,2,72,500,36000,2007-05-24T00:00:00.000,BARCELONA,Barcelonès,Badalona,[ 08915 ],"C. C/ MOLI DE LA TORRE, 88, 5È""",SERVEIS,Activitats relacionades amb bases de dades,[ 72400 ],"THE MOBILE PARTNERS, SLL",B64404122,6582
0,0,0,0,0,2,66000,1,18000,2005-04-11T00:00:00.000,TARRAGONA,Montsià,Amposta,[ 43870 ],"CTRA. C-12, """"EIX DE L'EBRE"""""" Km. 0,06""",SERVEIS,Venda de vehicles de motor,[ 5010 ],"AUTO WORK AMPOSTA AUTOMOBILS, SLL",B43783869,5938
0,0,0,1,2,0,3006,1,3006,2006-07-14T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08035 ],"C. C/ SANTA ALBINA, 32, 2N 2A""""",SERVEIS,Activitats industrials de neteja,[ 74700 ],"ROGELJAR, SLL",B64193725,6394
0,0,1,0,1,1,45000,1,45000,2007-01-19T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08019 ],"C. C/ BERNAT MARTORELL, 5""""",SERVEIS,Activitats de les escoles de conducció i pilotatge,[ 8553 ],"AUTOESCUELA FORUM, SLL",B64408412,6514
0,0,0,0,0,4,80844,1,80844,2007-09-13T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08007 ],"C. PASSEIG DE GRÀCIA, 34, 3R 1A""",SERVEIS,Telecomunicacions,[ 642 ],"LORD, SERVICIOS TECNOLOGICOS, SLL",B64622319,6667
0,0,0,1,2,0,45000,1,45000,2006-07-13T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08011 ],"C. C/ DIPUTACIÓ, 153, BAIXOS""""",SERVEIS,Perruqueria i altres tractaments de bellesa,[ 9602 ],"DUARTE AGUILAR, SLL",B64193394,6391
