CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
B61531026;1915;SITGES CAFES, SLL;1998-04-24;[ 4652 ];Comerç a l'engròs d'equips electrònics i de telecomunicacions i els seus components;SERVEIS;C. PREVISIÓ núm. 1 Pis LOCAL Porta 1;[ 08970 ];Sant Joan Despí;Baix Llobregat;BARCELONA;7224.309737598115;1202.0;100;1;1;1;1;0;0;2023
A58720335;711;ROBLEZA, SAL;1988-08-10;[ 748 ];Activitats empresarials diverses;SERVEIS;C. ENRIC GRANADOS núm. 36 Pis BAIXOS Porta 1A;[ 08210 ];Barberà Del Vallès;Vallès Occidental;BARCELONA;4334.5894486314955;601.0;120;2;2;0;0;0;0;2023
A58302753;213;GRUPO OPTICO NACIONAL, SAL;1987-05-11;[ 524 ];Altres tipus de comerç al detall d'articles nous en establiments especialitzats;SERVEIS;C. BALMES núm. 135 Pis TENDA Porta 1A;[ 08008 ];Barcelona;Barcelonès;BARCELONA;1806.0774343995288;601.0;500;2;1;1;0;0;0;2023
A60822905;1540;MECAPLAUTO, SAL;1995-06-01;[ 504 ];Venda, manteniment i reparació de motocicletes i ciclomotors, i dels seus recanvis i accessoris;SERVEIS;C. DIPUTACIÓ núm. 439-441;[ 08013 ];Barcelona;Barcelonès;BARCELONA;86691.73488154051;601.0;2400;2;2;1;1;0;0;2023
A08918922;472;MANUFACTURAS TEXTILES T.B., SAL;1987-12-03;[ 1330 ];Acabament de tèxtils;INDÚSTRIA;C. RAMON LLULL;[ 08750 ];Molins De Rei;Baix Llobregat;BARCELONA;446534.6603680598;601.0;123620;15;15;0;0;0;0;2023
A58273707;19;HEROTEC, SAL;1986-10-29;[ 2320 ];Fabricació de productes ceràmics refractaris;INDÚSTRIA;pi. BOADA VELL núm. S/N;[ 08184 ];Palau-Solità I Plegamans;Vallès Occidental;BARCELONA;10836.464606397172;601.0;300;3;2;0;0;0;0;2023
B61985255;2549;ARIZONA 99, SLL;1999-07-27;[ 7721 ];Lloguer d'articles d'oci i esportius;SERVEIS;C. FRANCISCO GINER núm. 29 Pis TENDA Porta 2A;[ 08012 ];Barcelona;Barcelonès;BARCELONA;1810.2544685249961;1.0;3012;1;1;1;0;0;0;2023
A58233214;13;OFINDECO, SAL;1986-10-16;[ 524 ];Altres tipus de comerç al detall d'articles nous en establiments especialitzats;SERVEIS;C. SIMANQUES núm. 3;[ 08913 ];Badalona;Barcelonès;BARCELONA;596.0056735542654;601.0;165;2;1;2;1;0;0;2023
B61796496;2251;BANDERES TAPICERIA I MODA, SLL;1998-12-28;[ 4641 ];Comerç a l'engròs de tèxtils;SERVEIS;C. SANT LLORENÇ núm. 38;[ 08230 ];Matadepera;Vallès Occidental;BARCELONA;1809.6895171468755;601.0;501;1;1;1;0;0;0;2023
B61508966;2247;LABARIAS PERRUQUERS, SLL;1998-12-21;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;C. SANT DOMENEC núm. 31 Pis BAIXOS;[ 08221 ];Terrassa;Vallès Occidental;BARCELONA;182.0525765388915;4808.0;63;1;1;1;0;0;0;2023
B61907838;2482;GOURMESTYL, SLL;1999-06-03;[ 522 ];Comerç al detall d'aliments, begudes i tabac en establiments especialitzats;SERVEIS;C. LAFORJA núm. 80 Pis BAIXOS;[ 08021 ];Barcelona;Barcelonès;BARCELONA;36085.43387063815;601.0;999;1;1;1;0;0;0;2023
N00004853;918;CAL-TEX, SAL;1989-06-20;[ 1391 ];Fabricació de teixits de punt;INDÚSTRIA;CAMÍ RAL núm. 18;[ 08301 ];Mataró;Maresme;BARCELONA;5057.018018342889;601.0;140;4;3;0;0;0;0;2023
B62112420;2806;CLAMINE, SLL;2000-01-17;[ 7420 ];Activitats de fotografia;SERVEIS;AV. MISTRAL núm. 6-8 Pis BAIXOS Porta TEN;[ 08015 ];Barcelona;Barcelonès;BARCELONA;1809.6895171468755;601.0;501;2;1;0;0;0;0;2023
A58302894;150;MUEBLES FREDISA, SAL;1987-03-24;[ 3109 ];Fabricació d'altres tipus de mobles;INDÚSTRIA;C. INDÚSTRIA núm. 18 Polígon CAN CORTÉS;[ 08184 ];Palau-Solità I Plegamans;Vallès Occidental;BARCELONA;1199.235512603224;601.0;332;2;2;0;0;0;0;2023
A61119111;1605;MORUSUMA, SAL;1996-05-28;[ 4754 ];Comerç al detall d'electrodomèstics en establiments especialitzats;SERVEIS;C. JOSEP M. CUYAS I TOLOSA núm. 9-11;[ 08917 ];Badalona;Barcelonès;BARCELONA;36121.55469811162;601.0;1000;1;1;1;0;0;0;2023
A58390592;330;ASESORIA Y GESTIÓN PRISMA, SAL;1987-09-08;[ 741 ];Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...;SERVEIS;C. PALOMAR núm. 22;[ 08030 ];Barcelona;Barcelonès;BARCELONA;7224.309737598115;601.0;2000;3;2;0;0;0;0;2023
B61633541;1936;ICONO-CAFE PC, SLL;1998-05-13;[ 5630 ];Establiments de begudes;SERVEIS;PL. SANTA ANNA núm. 5 Pis LOCAL Porta 1;[ 08760 ];Martorell;Baix Llobregat;BARCELONA;21672.93522291539;60101.0;60;1;1;1;0;0;0;2023
B62064985;2692;TELEFONIA SANT FELIU, SLL;1999-11-04;[ 52488 ];Altres tipus de comerç al detall;SERVEIS;CTRA. LAUREÀ MIRÓ núm. 248;[ 08980 ];Sant Feliu De Llobregat;Baix Llobregat;BARCELONA;1809.6895171468755;601.0;501;1;1;1;0;0;0;2023
A17132598;261;VIDEO DELTA, SAL;1987-06-22;[ 744 ];Publicitat;SERVEIS;C. PEDRET núm. 1 Pis BAIXOS;[ 17007 ];Girona;Gironès;GIRONA;361.21428485569703;601.0;100;2;2;0;0;0;0;2023
B61876470;2334;I.P.S. INSTAL·LACIONS, SLL;1999-03-05;[ 453 ];Instal·lacions d'edificis i obres;CONSTRUCCIÓ;CTRA. DE MOJA núm. 7 Pis BAIXOS;[ 08720 ];Vilafranca Del Penedès;Alt Penedès;BARCELONA;9102.634837065618;601.0;2520;1;1;1;0;0;0;2023
A58992074;1010;IMPERMEABILIZACIONES TEYSAN, SAL;1990-07-16;[ 4399 ];Altres activitats especialitzades de la construcció ncaa;CONSTRUCCIÓ;AV. SANT ILDEFONS núm. 19 Pis 4T Porta 1A;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;3612.1548687990576;601.0;100;2;2;0;0;0;0;2023
A61154266;1613;ASOCIACION PARA ENTRETENIMIENTOS VARIOS, SAL;1996-07-24;[ 9200 ];Activitats relacionades amb els jocs d'atzar i les apostes;SERVEIS;urb. CAN RUBIROLAS, C/ CREU ROJA núm. S/N;[ 08640 ];Olesa De Montserrat;Baix Llobregat;BARCELONA;36121.55469811162;601.0;1000;2;1;2;1;0;0;2023
A05841846;1066;AUXILIAR DE RESTAURACIÓN, SAL;1991-08-28;[ 74 ];Altres activitats empresarials;SERVEIS;C. LEON XIII núm. 11 BIS;[ 08911 ];Badalona;Barcelonès;BARCELONA;3612.1548687990576;601.0;1000;3;2;0;0;0;0;2023
A61046439;1594;MADERA APLICADA EN EBANISTERIA, SAL;1996-02-28;[ 3109 ];Fabricació d'altres tipus de mobles;INDÚSTRIA;C. GARROTXA núm. S/N;[ 08211 ];Castellar Del Vallès;Vallès Occidental;BARCELONA;36121.55469811162;601.0;10000;2;2;0;0;0;0;2023
A43387463;1338;HIDROSERVEI REUS, SAL;1993-12-24;[ 3314 ];Reparació d'equips elèctrics;INDÚSTRIA;C. MIAMI núm. 14;[ 43205 ];Reus;Baix Camp;TARRAGONA;36121.55469811162;60101.0;100;3;2;0;0;0;0;2023
A58092198;353;COMERCIAL GAUDI, SAL;1987-09-28;[ 1610 ];Serrada i planejament de la fusta;INDÚSTRIA;C. PALAUDARIES núm. S/N Nau 3;[ 08185 ];Lliçà De Vall;Vallès Oriental;BARCELONA;36410.527328020384;2404.0;252;4;3;0;0;0;0;2023
B61648937;1962;PISCICULTURA SUPERIOR, SLL;1998-06-05;[ 4623 ];Comerç a l'engròs d'animals vius;SERVEIS;AV. D'ESPANYA núm. 112 Pis SEMISOTERR;[ 08150 ];Parets Del Vallès;Vallès Oriental;BARCELONA;10836.464606397172;601.0;18030;3;0;1;0;0;0;2023
A58735168;718;DRADISA, SAL;1988-09-08;[ 2829 ];Fabricació d'altre tipus de maquinària d'ús general ncaa;INDÚSTRIA;moll ZONA SERVEIS;[ 08800 ];Vilanova I La Geltrú;Garraf;BARCELONA;21672.93522291539;30051.0;120;2;2;0;0;0;0;2023
B61736849;2108;L'ARCA DEL CAFE, SLL;1998-09-22;[ 1071 ];Fabricació de pa i de productes de fleca i pastisseria frescos;INDÚSTRIA;C. CARRERAS I CANDI núm. 89;[ 08028 ];Barcelona;Barcelonès;BARCELONA;1806.0774343995288;601.0;500;1;1;1;1;0;0;2023
B61627485;1938;OLESA MODAS KORA, SLL;1998-05-13;[ 4771 ];Comerç al detall de peces de vestir en establiments especialitzats;SERVEIS;PL. CATALUNYA núm. 30 Pis BAIXOS;[ 08640 ];Olesa De Montserrat;Baix Llobregat;BARCELONA;1842.1982618729942;601.0;510;1;1;1;0;0;0;2023
A59095281;980;TECNICAL-CENTRE TECNOLÒGIC DEL BAGES, SAL;1990-02-26;[ 748 ];Activitats empresarials diverses;SERVEIS;C. DOCTOR ZAMENHOFF núm. 27 Pis BAIXOS;[ 08240 ];Manresa;Bages;BARCELONA;36121.55469811162;601.0;100;2;2;2;1;0;0;2023
A17414780;1502;PLANCHISTERIA MECANICA CUATRE VENTS, SAL;1995-02-13;[ 527 ];Reparació d'efectes personals i efectes domèstics;SERVEIS;C. GABARRES núm. 15;[ 17300 ];Blanes;Selva;GIRONA;36121.55469811162;3005.0;2000;2;1;1;0;0;0;2023
A58290792;171;IMPERMEABILIZACIONES BUTILICAS, SAL;1987-04-06;[ 4339 ];Altres treballs d'acabament d'edificis;CONSTRUCCIÓ;C. FERLANDINA núm. 39 Pis BAIXOS;[ 08001 ];Barcelona;Barcelonès;BARCELONA;7224.309737598115;3005.0;400;9;9;1;0;0;0;2023
B61451233;1833;STAND & OCEAN, SLL;1998-02-20;[ 6209 ];Altres serveis relacionats amb les tecnologies de la informació;SERVEIS;C. SAGRADA FAMÍLIA núm. 95;[ 08810 ];Sant Pere De Ribes;Garraf;BARCELONA;1806.0774343995288;601.0;500;1;1;1;0;0;0;2023
B61829974;2274;FUSTERIA CARDEDEU, SLL;1999-01-21;[ 1629 ];"Fabricació d'altres productes de fusta; fabricació de productes de suro, cistelleria i esparteria";INDÚSTRIA;C. TARRAGONA núm. 14 Pis 2N Porta 1A;[ 08440 ];Cardedeu;Vallès Oriental;BARCELONA;1806.0774343995288;3005.0;100;1;1;1;1;0;0;2023
B61838017;2302;ARPA MOTORS, SLL;1999-02-12;[ 4511 ];Venda d'automòbils i vehicles de motor lleuger;SERVEIS;C. ARCADI BALAGUER núm. 87 Pis LOCAL;[ 08860 ];Castelldefels;Baix Llobregat;BARCELONA;36121.55469811162;601.0;2000;2;1;1;0;0;0;2023
B61995536;2682;ALBESA Y LOPEZ, SLL;1999-10-28;[ 553 ];Restaurants;SERVEIS;C. CORSEGA núm. 491;[ 08025 ];Barcelona;Barcelonès;BARCELONA;1806.0774343995288;3005.0;100;1;1;1;1;0;0;2023
A58919077;822;JOFRAN SOLADOS Y ALICATADOS, SAL;1989-02-21;[ 4339 ];Altres treballs d'acabament d'edificis;CONSTRUCCIÓ;AV. GAVA núm. 78 Bloc MUGA Pis 1R;[ 08840 ];Viladecans;Baix Llobregat;BARCELONA;7224.309737598115;601.0;2000;2;1;1;0;0;0;2023
A58437807;603;OLD-MAN, SAL;1988-03-22;[ 1419 ];Confecció d'altres tipus de peces de vestir i accessoris;INDÚSTRIA;pla DE L'ATMETLLERA núm. 2;[ 08225 ];Terrassa;Vallès Occidental;BARCELONA;288.97262990876635;601.0;80;2;1;1;0;0;0;2023
B62040498;2651;EUROCOAT 2000, SLL;1999-10-04;[ 4334 ];Pintura i vidrieria;CONSTRUCCIÓ;pi. SANT MARTÍ núm. S/N Nau 5-12;[ 08107 ];Martorelles;Vallès Oriental;BARCELONA;1806.0774343995288;601.0;500;3;2;1;0;0;0;2023
B63175129;5129;EXCAVACIONES SALLES, SLL;2003-07-24;[ 4311 ];Demolició d'immobles;CONSTRUCCIÓ;C. LA BOLIVA núm. 25;[ 08205 ];Sabadell;Vallès Occidental;BARCELONA;3006.0;2599.0;3006;1;1;1;0;0;0;2023
A60596046;1480;NOURRIS, SAL;1994-12-19;[ 1320 ];Fabricació de teixits tèxtils;INDÚSTRIA;C. RIERA DE TARGA núm. 55 Nau 2;[ 08339 ];Vilassar De Dalt;Maresme;BARCELONA;90303.88975033957;601.0;455;2;2;0;0;0;0;2023
B62380670;3367;NEW BLUE TECHNOLOGY, SLL;2001-01-15;[ 4651 ];Comerç a l'engròs d'ordinadors, equips perifèrics i programes informàtics;SERVEIS;AV. DEL CARRILET núm. 353 Pis BAIXOS 1R Porta ENT;[ 08901 ];Hospitalet De Llobregat, L';Barcelonès;BARCELONA;1809.6895171468755;601.0;501;1;1;1;0;0;0;2023
B61957528;2528;TELE-MONTADITOS, SLL;1999-07-15;[ 553 ];Restaurants;SERVEIS;AV. DEL PARQUE núm. 38 Pis ENTL. 2A Porta B;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;1896.379503083192;3005.0;105;1;1;1;0;0;0;2023
B62371117;3310;MOBLES MAGRANS, SLL;2000-12-05;[ 4759 ];Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats;SERVEIS;C. PROVENÇA núm. 50 Pis BAIXOS;[ 08226 ];Terrassa;Vallès Occidental;BARCELONA;18.066423857776496;1002.0;300;1;1;1;0;0;0;2023
A43254580;1060;RECTIFICADOS EUROPA, SAL;1991-07-19;[ 2711 ];Fabricació de motors, transformadors i generadors elèctrics;INDÚSTRIA;pi.  Parcel·la 22 Nau 8;[ 43001 ];Tarragona;Tarragonès;TARRAGONA;36121.55469811162;601.0;10000;2;1;2;1;0;0;2023
B62045299;2821;MUNTANER CAFE, SLL;2000-01-21;[ 5630 ];Establiments de begudes;SERVEIS;C. MUNTANER núm. 183;[ 08036 ];Barcelona;Barcelonès;BARCELONA;1842.1982618729942;601.0;510;1;1;1;1;0;0;2023
A17148297;607;INJECCIÓ DE PLASTIC INDUSTRIAL, SAL;1988-03-23;[ 2229 ];Fabricació d'altres productes de matèries plàstiques;INDÚSTRIA;C. MAJOR DE SANTA MAGDALENA núm. 2;[ 17857 ];Sant Joan Les Fonts;Garrotxa;GIRONA;10836.464606397172;1803.0;1000;2;1;1;1;0;0;2023
B61740221;2188;C.J.R. FUSTERIA ALUMINI, SLL;1998-11-11;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;C. JACINT VERDAGUER núm. 12 Pis LOCAL Porta 2;[ 08755 ];Castellbisbal;Vallès Occidental;BARCELONA;1809.6895171468755;601.0;501;1;1;1;0;0;0;2023
A58372160;249;CONSTRUC-5, SAL;1987-06-11;[ 4339 ];Altres treballs d'acabament d'edificis;CONSTRUCCIÓ;C. SANTIAGO núm. 29 Pis CASA Porta 5;[ 08290 ];Cerdanyola Del Vallès;Vallès Occidental;BARCELONA;1806.0774343995288;601.0;500;3;2;0;0;0;0;2023
B63802912;5997;OMEGA MEDI AMBIENT I CONSULTORS, SLL;2005-06-03;[ 741 ];Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...;SERVEIS;C. SERRA DE LA MARINA núm. 9 Pis 4T Porta 2A;[ 08120 ];Llagosta, La;Vallès Oriental;BARCELONA;54000.0;10.0;5400;1;1;0;1;0;0;2023
A58672114;726;MOVI 2, SAL;1988-09-29;[ 4520 ];Manteniment i reparació de vehicles de motor;SERVEIS;C. NEBOT núm. 2-3-4;[ 08930 ];Sant Adrià De Besòs;Barcelonès;BARCELONA;3612.1548687990576;601.0;1000;3;2;0;0;0;0;2023
B61570495;1911;TREBALLS EN JARDINERIA NIETO, SLL;1998-04-14;[ 0130 ];Vivers i conreus de plantes ornamentals;AGRICULTURA;C. GUILLERIES núm. 21 Pis BAIXOS Porta 2A;[ 08320 ];Masnou, El;Maresme;BARCELONA;2167.291719255226;3005.0;120;1;1;1;0;0;0;2023
A25059890;189;PAÑERIAS MONTAL, SAL;1987-04-20;[ 524 ];Altres tipus de comerç al detall d'articles nous en establiments especialitzats;SERVEIS;PL. PAERIA núm. 13;[ 25007 ];Lleida;Segrià;LLEIDA;18060.780354116334;1202.0;250;2;1;1;0;0;0;2023
A43109206;349;CONSTRUCCIONS RURALS DELTA, SAL;1987-09-25;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. MESTRE SUNYER núm. 16;[ 43870 ];Amposta;Montsià;TARRAGONA;3612.1548687990576;601.0;100;2;1;2;1;0;0;2023
B61491205;1769;TALLERES METALURGICOS SENTMENAT, SLL;1998-01-07;[ 2562 ];Enginyeria mecànica general per compte d'altri;INDÚSTRIA;PTGE. TORRE ROJA Polígon CAN CLAPES Nau 16A;[ 08181 ];Sentmenat;Vallès Occidental;BARCELONA;1806.0774343995288;3005.0;732;2;1;1;0;0;0;2023
B43604552;3075;FORN PA REMOLINS, SLL;2000-06-27;[ 1071 ];Fabricació de pa i de productes de fleca i pastisseria frescos;INDÚSTRIA;C. BENIFALLET núm. 21;[ 43500 ];Tortosa;Baix Ebre;TARRAGONA;18.44506148353828;3099.0;99;1;1;1;0;0;0;2023
B61625513;2019;SUCC. A. CODINA ASSESSORS, SLL;1998-07-15;[ 6910 ];Activitats jurídiques;SERVEIS;C. ADVOCAT CIRERA núm. 32 Pis BAIXOS;[ 08201 ];Sabadell;Vallès Occidental;BARCELONA;1878.3190893464596;3005.0;104;2;2;0;0;0;0;2023
B62608997;3793;DORMI-DECOR DESCANS, SLL;2001-07-24;[ 4759 ];Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats;SERVEIS;C. GERMANS TORELL núm. 9;[ 08380 ];Malgrat De Mar;Maresme;BARCELONA;18.210666762828605;999.0;303;1;1;1;0;0;0;2023
B63090617;4983;JUREME XXI, SLL;2003-05-06;[ 2229 ];Fabricació d'altres productes de matèries plàstiques;INDÚSTRIA;pi. ANDORRA núm. S/N Polígon FONOLLAR,SUR-BULLIDOR;[ 08830 ];Sant Boi De Llobregat;Baix Llobregat;BARCELONA;6310626.0;70118.0;90;2;0;1;0;0;0;2023
B61729968;2104;PUNT CALENT CANOVELLES, SLL;1998-09-18;[ 1581 ];Fabricació de pa i de productes de fleca i pastisseria frescos;INDÚSTRIA;C. SANT JORDI núm. 26;[ 08420 ];Canovelles;Vallès Oriental;BARCELONA;4768.045388434123;601.0;132;1;1;1;0;0;0;2023
B61432571;1686;BONISSIM, SLL;1997-08-25;[ 51382 ];Comerç a l'engròs d'altres productes alimentaris;SERVEIS;C. SANT PASQUAL BAILON núm. 12 A Pis 2N Porta 2A;[ 08027 ];Barcelona;Barcelonès;BARCELONA;1842.1982618729942;601.0;51;1;1;1;0;0;0;2023
A43089150;3;ESTRUCTURAS NOBLES APLACADAS (SALENA), SAL;1986-08-22;[ 1621 ];Fabricació de fulloles i taulers de fusta;INDÚSTRIA;CTRA. DE REUS, VIVENDES SALENA Bloc 3 Esc. 6 Pis 1R;[ 43007 ];Tarragona;Tarragonès;TARRAGONA;440.6801052973207;601.0;122;58;58;0;0;0;0;2023
B62221643;2984;MOTOS DICA, SLL;2000-04-27;[ 4540 ];Venda, manteniment i reparació de motocicletes, i dels seus recanvis i accessoris;SERVEIS;PG. DE LES TORRES núm. 102-104;[ 08191 ];Rubí;Vallès Occidental;BARCELONA;1806.0774343995288;601.0;500;1;1;1;1;0;0;2023
B62459177;3442;JORMARLYD, SLL;2001-02-13;[ 36110 ];Fabricació de cadires i altres seients;INDÚSTRIA;C. PUIG DEL RABELL núm. 43 Pis 14È Porta 4A;[ 08760 ];Martorell;Baix Llobregat;BARCELONA;1893.1821186878703;35.0;90;1;1;1;0;0;0;2023
A58337478;225;TALLERES GAMBUS, SAL;1987-05-21;[ 2562 ];Enginyeria mecànica general per compte d'altri;INDÚSTRIA;C. TORNS núm. 25;[ 08028 ];Barcelona;Barcelonès;BARCELONA;10836.464606397172;1803.0;100;2;2;0;0;0;0;2023
A58258112;40;FABRICACION Y DISTRIBUCION DE ARTICULOS DEPORTIVOS, SAL;1986-11-26;[ 1419 ];Confecció d'altres tipus de peces de vestir i accessoris;INDÚSTRIA;C. INDÚSTRIA núm. 197 Pis ENTL. Porta 1A;[ 08025 ];Barcelona;Barcelonès;BARCELONA;5418.232303198586;601.0;1500;3;3;0;0;0;0;2023
A58213885;101;PUNTO 6, SAL;1987-02-06;[ 1391 ];Fabricació de teixits de punt;INDÚSTRIA;C. COSTA BRAVA núm. 22-24 Pis 2N Porta A;[ 08030 ];Barcelona;Barcelonès;BARCELONA;32509.399829312562;60101.0;90;3;3;0;0;0;0;2023
B61398566;1726;L'ART DEL PINZELL, SLL;1997-10-22;[ 4778 ];Comerç al detall d'altres tipus d'articles nous en establiments especialitzats;SERVEIS;AV. JACQUARD núm. 68;[ 08222 ];Terrassa;Vallès Occidental;BARCELONA;1806.0774343995288;601.0;500;1;1;1;1;0;0;2023
A59147561;993;DIVER-PLÀSTIC, SAL;1990-04-20;[ 2229 ];Fabricació d'altres productes de matèries plàstiques;INDÚSTRIA;C. BORGONYA núm. 6-8 Pis 2N Porta 1A;[ 08031 ];Barcelona;Barcelonès;BARCELONA;36121.55469811162;601.0;1000;14;14;1;0;0;0;2023
B62207832;3682;MICRANET VILASSAR, SLL;2001-06-06;[ 52488 ];Altres tipus de comerç al detall;SERVEIS;C. SANTA EULÀLIA núm. 41 Pis 1R Porta 3A;[ 08340 ];Vilassar De Mar;Maresme;BARCELONA;7224.309737598115;601.0;2000;3;1;0;0;0;0;2023
A62018445;2754;SERYSYS, SAL;1999-12-10;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;pi. MIQUEL SERVET núm. 54 Nau 10;[ 08635 ];Sant Esteve Sesrovires;Baix Llobregat;BARCELONA;144486.21879244648;1202.0;2000;2;2;2;1;0;0;2023
B61720348;2063;BRANSI-4, SLL;1998-07-31;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;C. BERNAT BRANSI núm. 4;[ 08032 ];Barcelona;Barcelonès;BARCELONA;1809.6895171468755;601.0;501;1;1;1;0;0;0;2023
A58488321;541;UTILLAJES BETULO, SAL;1988-02-03;[ 2841 ];Fabricació de màquines eina per treballar els metalls;INDÚSTRIA;RBLA. SANT JOAN núm. 94;[ 08914 ];Badalona;Barcelonès;BARCELONA;14448.61947519623;601.0;400;2;2;0;0;0;0;2023
B61508370;1780;MARKETING INSTITUCIONAL, SLL;1998-01-19;[ 7311 ];Agències de publicitat;SERVEIS;C. JOSEP TARRADELLES núm. 84-88 Pis 4T Porta 1A;[ 08029 ];Barcelona;Barcelonès;BARCELONA;1806.0774343995288;601.0;1000;2;1;0;1;0;0;2023
B62072277;2750;SERVICIO ASESORAMIENTO Y GESTION DE FONDOS EDITORIALES, SLL;1999-12-09;[ 4649 ];Comerç a l'engròs d'altres articles d'ús domèstic;SERVEIS;C. GASUACHS Nau D;[ 08430 ];Roca Del Vallès, La;Vallès Oriental;BARCELONA;3619.379034293751;601.0;1002;1;1;1;0;0;0;2023
B25485590;4005;TALLERES ZINCADO M. CACERES, SLL;2001-11-06;[ 2561 ];Tractament i revestiment de metalls;INDÚSTRIA;pi. B Polígon CAMÍ DELS FRARES Parcel·la 13;[ 25191 ];Lleida;Segrià;LLEIDA;54.181241210197975;601.0;1500;2;1;0;0;0;0;2023
B61913158;2548;EXCAVACIONES CASTRO Y FLORES, SLL;1999-07-27;[ 4312 ];Moviments de terres;CONSTRUCCIÓ;parc VALL DE PALAU núm. 14 Pis 6È Porta 2A;[ 08740 ];Sant Andreu De La Barca;Baix Llobregat;BARCELONA;18.210666762828605;499.0;606;1;1;1;0;0;0;2023
B25419672;2384;ACABAT 10, SLL;1999-03-30;[ 45211 ];Construcció d'edificis;CONSTRUCCIÓ;PL. SANT PERE núm. 4 Pis 4T Porta 3A;[ 25005 ];Lleida;Segrià;LLEIDA;7777.234863510152;43134.0;30;1;1;1;0;0;0;2023
A60886975;1553;GADER CONTROL Y GESTIÓN, SAL;1995-07-17;[ 748 ];Activitats empresarials diverses;SERVEIS;C. COMTE BORRELL núm. 179 Pis ENTL. Porta 7A;[ 08015 ];Barcelona;Barcelonès;BARCELONA;36121.55469811162;601.0;1000;2;1;1;0;0;0;2023
A58919895;845;ASESORIA INFORMÀTICA SATEL, SAL;1989-03-13;[ 6201 ];Activitats de programació informàtica;SERVEIS;C. BOIX núm. 1;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;7224.309737598115;601.0;200;2;1;2;1;0;0;2023
B61553020;1869;VIDEOJOCS NOLDOR, SLL;1998-03-11;[ 52483 ];Comerç al detall de joguines i articles d'esport;SERVEIS;C. ROSALIA DE CASTRO núm. 40;[ 08025 ];Barcelona;Barcelonès;BARCELONA;1806.0894546416166;100169.0;3;1;1;1;0;0;0;2023
A58653007;621;ASSESORIA INFORMÀTICA LABORAL, SAL;1988-04-18;[ 748 ];Activitats empresarials diverses;SERVEIS;C. BRUC núm. 85 Pis PRAL. Porta 1A;[ 08009 ];Barcelona;Barcelonès;BARCELONA;14448.61947519623;601.0;4000;2;2;1;1;0;0;2023
B62730700;4176;ASSESSORIA CAPEL I ASSOCIATS, SLL;2002-01-29;[ 741 ];Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...;SERVEIS;C. BAILEN núm. 161 Pis ENTL. Porta 5È;[ 08037 ];Barcelona;Barcelonès;BARCELONA;6000.0;10.0;600;2;1;1;1;0;0;2023
A59855635;1094;GRIMOLER S.C.G., SAL;1991-11-19;[ 2599 ];Fabricació d'altres productes metàl·lics ncaa;INDÚSTRIA;C. ARQUÍMEDES núm. 7;[ 08930 ];Sant Adrià De Besòs;Barcelonès;BARCELONA;36121.55469811162;601.0;10000;3;2;0;0;0;0;2023
B60643657;1454;PALOU-MOTLLES, SLL;1994-10-13;[ 291 ];Fabricació de màquines, equips i materials mecànics;INDÚSTRIA;C. COLL DE LA MANYA núm. 23;[ 08400 ];Granollers;Vallès Oriental;BARCELONA;72243.10939622324;601.0;1158;2;2;0;0;0;0;2023
A58597634;774;INTERVELOX, SAL;1988-12-16;[ 2594 ];Fabricació de perns i cargols;INDÚSTRIA;C. INDÚSTRIA núm. 15-17;[ 08120 ];Llagosta, La;Vallès Oriental;BARCELONA;3973.369153654755;601.0;1100;11;11;1;1;0;0;2023
A58628314;907;RASEGAR, SAL;1989-06-08;[ 501 ];Venda de vehicles de motor;SERVEIS;AV. HOSPITAL MILITAR núm. 78-80;[ 08023 ];Barcelona;Barcelonès;BARCELONA;7224.309737598115;601.0;200;2;1;1;0;0;0;2023
A61193819;1620;SANITARIOS Y COCINAS DIAGONAL, SAL;1996-09-25;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;AV. DIAGONAL núm. 259 Pis BAIXOS;[ 08013 ];Barcelona;Barcelonès;BARCELONA;36121.55469811162;601.0;1000;2;1;1;0;0;0;2023
