CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
B64023088;6440;CARNICAS TORAL, SLL;2006-09-21;[ 4632 ];Comerç a l'engròs de carn i productes carnis;SERVEIS;AV. CONCÒRDIA núm. 49 Pis BAIXOS;[ 08206 ];Sabadell;Vallès Occidental;BARCELONA;3008.0;1.0;3008;2;1;1;0;0;0;2023
B64191026;6428;REI MARMA, SLL;2006-09-14;[ 4649 ];Comerç a l'engròs d'altres articles d'ús domèstic;SERVEIS;C. BAILEN,  núm. 215 Pis baixos;[ 08037 ];Barcelona;Barcelonès;BARCELONA;3750.0;10.0;375;2;1;1;0;0;0;2023
B64250814;6427;MAXTEL INDUSTRIAL CLEANING PRODUCTS, SLL;2006-09-14;[ 2924 ];Fabricació d'altres tipus de maquinària d'ús general;INDÚSTRIA;C. SEGRE núm. 2 Polígon CAN CALOPA Nau 9;[ 08174 ];Sant Cugat Del Vallès;Vallès Occidental;BARCELONA;81000.0;10.0;8100;1;1;0;1;0;0;2023
B17885492;6424;ROMAN&REGI ASSOCIATS, SLL;2006-09-07;[ 6831 ];Agents de la propietat immobiliària;SERVEIS;C. SANT MARTÍ núm. 46 Pis BAIXOS;[ 17421 ];Riudarenes;Selva;GIRONA;74400.0;100.0;744;2;0;2;1;0;0;2023
B64215882;6400;LA TERANYINA, SLL;2006-07-21;[ 4642 ];Comerç a l'engròs de peces de vestir i calçat;SERVEIS;AV. MISTRAL núm. 68 Pis BAIXOS;[ 08015 ];Barcelona;Barcelonès;BARCELONA;36000.0;1.0;36000;0;2;0;2;0;0;2023
B64156862;6398;CONSTRUCCIONES E INSTALACIONES CANDANA, SLL;2006-07-20;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. SIRIUS núm. 29;[ 08914 ];Badalona;Barcelonès;BARCELONA;39000.0;100.0;390;2;0;0;2;0;0;2023
B64219280;6388;EMOLOC ESPECIALISTAS EN SOLDADURAS, SLL;2006-07-13;[ 4674 ];Comerç a l'engròs de ferreteria, lampisteria i calefacció;SERVEIS;C. COBALT núm. 175 Nau H-I, PG. P;[ 08907 ];Hospitalet De Llobregat, L';Barcelonès;BARCELONA;66300.0;100.0;663;3;0;0;0;0;0;2023
B43854587;6383;CONSTRUCCIONES PRINCEP SALAS, SLL;2006-07-10;[ 4122 ];Construcció d'edificis no residencials;CONSTRUCCIÓ;C. ESPORTS núm. 2 Pis BAIXOS;[ 43570 ];Santa Bàrbara;Montsià;TARRAGONA;54000.0;1.0;54000;2;0;0;2;0;0;2023
B64213523;6382;INNOVACION SERVICIOS CONSTRUCCION Y REHABILITACION, SLL;2006-07-10;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;urb. CAN CANYAMERAS - CAN CANYAMERA núm. 86;[ 08181 ];Sentmenat;Vallès Occidental;BARCELONA;3009.0;1.0;3009;0;2;1;0;0;0;2023
B64147226;6380;SERVEIS GRAFICS ENGOPLAST, SLL;2006-07-07;[ 1629 ];"Fabricació d'altres productes de fusta; fabricació de productes de suro, cistelleria i esparteria";INDÚSTRIA;C. València núm. 646 Pis entl. Porta 1ª;[ 08026 ];Barcelona;Barcelonès;BARCELONA;3009.0;1.0;3009;1;1;1;0;0;0;2023
B25599093;6379;ROGER I MARIBEL, SLL;2006-07-07;[ 5520 ];Allotjaments turístics i altres allotjaments de curta durada;SERVEIS;PL. MAJOR núm. 8;[ 25720 ];Bellver De Cerdanya;Cerdanya;LLEIDA;3006.0;1.0;3006;1;1;0;1;0;0;2023
